Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
47.155	16:58:34.390	43.462229950	1.272889989	0.242105	125	0.25
47.405	16:58:34.640	43.462229950	1.272889989	0.242105	125	0.246094
47.655	16:58:34.890	43.462229950	1.272889989	0.242105	125	0.25
47.905	16:58:35.140	43.462229950	1.272889989	0.242105	125	0.25
48.155	16:58:35.390	43.462229950	1.272889989	0.242105	125	0.246094
48.405	16:58:35.640	43.462229950	1.272889989	0.242105	125	0.246094
48.655	16:58:35.890	43.462229950	1.272889989	0.242105	125	0.25
48.905	16:58:36.140	43.462229950	1.272889989	0.242105	125	0.246094
49.155	16:58:36.390	43.462229950	1.272889989	0.242105	125	0.246094
49.405	16:58:36.640	43.462229950	1.272889989	0.242105	125	0.25
49.655	16:58:36.890	43.462229950	1.272889989	0.242105	125	0.25
49.905	16:58:37.140	43.462229950	1.272889989	0.242105	125	0.246094
50.155	16:58:37.390	43.462229950	1.272889989	0.244737	125	0.234375
50.405	16:58:37.640	43.462229950	1.272889989	0.244737	125	0.199219
50.655	16:58:37.890	43.462229950	1.272889989	0.244737	124	0.199219
50.905	16:58:38.140	43.462229950	1.272889989	0.244737	124	0.199219
51.155	16:58:38.390	43.462229950	1.272889989	0.244737	124	0.199219
51.405	16:58:38.640	43.462229950	1.272889989	0.242105	124	0.203125
51.655	16:58:38.890	43.462229950	1.272889989	0.242105	124	0.226562
51.905	16:58:39.140	43.462229950	1.272889989	0.242105	124	0.242188
52.155	16:58:39.390	43.462229950	1.272889989	0.242105	124	0.25
52.405	16:58:39.640	43.462229950	1.272889989	0.242105	124	0.25
52.655	16:58:39.890	43.462229950	1.272889989	0.242105	124	0.246094
52.905	16:58:40.140	43.462229950	1.272889989	0.242105	124	0.25
53.155	16:58:40.390	43.462229950	1.272889989	0.242105	124	0.25
53.405	16:58:40.640	43.462229950	1.272889989	0.242105	124	0.25
53.655	16:58:40.890	43.462229950	1.272889989	0.242105	124	0.246094
53.905	16:58:41.140	43.462229950	1.272889989	0.242105	124	0.25
54.155	16:58:41.390	43.462229950	1.272889989	0.242105	124	0.25
54.405	16:58:41.640	43.462229950	1.272889989	0.242105	124	0.25
54.655	16:58:41.890	43.462229950	1.272889989	0.242105	125	0.25
54.905	16:58:42.140	43.462229950	1.272889989	0.242105	125	0.25
55.155	16:58:42.390	43.462229950	1.272889989	0.244737	125	0.246094
55.405	16:58:42.640	43.462229950	1.272889989	0.244737	125	0.21875
55.655	16:58:42.890	43.462229950	1.272889989	0.242105	125	0.246094
55.905	16:58:43.140	43.462229950	1.272889989	0.242105	125	0.246094
56.155	16:58:43.390	43.462229950	1.272889989	0.242105	125	0.25
56.405	16:58:43.640	43.462229950	1.272889989	0.242105	125	0.25
56.655	16:58:43.890	43.462229950	1.272889989	0.242105	125	0.25
56.905	16:58:44.140	43.462229950	1.272889989	0.242105	125	0.246094
57.155	16:58:44.390	43.462229950	1.272889989	0.242105	125	0.25
57.405	16:58:44.640	43.462229950	1.272889989	0.242105	125	0.25
57.655	16:58:44.890	43.462229950	1.272889989	0.242105	125	0.246094
57.905	16:58:45.140	43.462229950	1.272889989	0.242105	125	0.25
58.155	16:58:45.390	43.462229950	1.272889989	0.242105	125	0.25
58.405	16:58:45.640	43.462229950	1.272889989	0.242105	125	0.25
58.655	16:58:45.890	43.462229950	1.272889989	0.242105	125	0.25
58.905	16:58:46.140	43.462229950	1.272889989	0.242105	125	0.25
59.155	16:58:46.390	43.462229950	1.272889989	0.242105	125	0.25
59.405	16:58:46.640	43.462229950	1.272889989	0.242105	125	0.246094
59.655	16:58:46.890	43.462229950	1.272889989	0.242105	125	0.246094
59.905	16:58:47.140	43.462229950	1.272889989	0.242105	125	0.25
60.155	16:58:47.390	43.462229950	1.272889989	0.242105	125	0.25
60.405	16:58:47.640	43.462229950	1.272889989	0.242105	125	0.25
60.655	16:58:47.890	43.462229950	1.272889989	0.242105	125	0.25
60.905	16:58:48.140	43.462229950	1.272889989	0.242105	125	0.25
61.155	16:58:48.390	43.462229950	1.272889989	0.242105	125	0.246094
61.405	16:58:48.640	43.462229950	1.272889989	0.242105	125	0.246094
61.655	16:58:48.890	43.462229950	1.272889989	0.242105	125	0.25
61.905	16:58:49.140	43.462229950	1.272889989	0.242105	125	0.25
62.155	16:58:49.390	43.462229950	1.272889989	0.242105	125	0.246094
62.405	16:58:49.640	43.462229950	1.272889989	0.242105	125	0.25
62.655	16:58:49.890	43.462229950	1.272889989	0.242105	125	0.25
62.905	16:58:50.140	43.462229950	1.272889989	0.242105	125	0.246094
63.155	16:58:50.390	43.462229950	1.272889989	0.242105	125	0.25
63.405	16:58:50.640	43.462229950	1.272889989	0.242105	125	0.25
63.655	16:58:50.890	43.462229950	1.272889989	0.242105	125	0.25
63.905	16:58:51.140	43.462229950	1.272889989	0.242105	125	0.25
64.155	16:58:51.390	43.462229950	1.272889989	0.242105	125	0.25
64.405	16:58:51.640	43.462229950	1.272889989	0.242553	125	0.25
64.655	16:58:51.890	43.462229950	1.272889989	0.244927	125	0.242188
64.905	16:58:52.140	43.462229950	1.272889989	0.248228	125	0.199219
65.155	16:58:52.390	43.462229950	1.272889989	0.2	125	0.304688
65.405	16:58:52.640	43.462229950	1.272889989	0.227597	125	0.332031
65.655	16:58:52.890	43.462229950	1.272889989	0.227597	125	0.308594
65.905	16:58:53.140	43.462229950	1.272889989	0.261494	125	0.292969
66.155	16:58:53.390	43.462229950	1.272889989	0.208108	125	0.359375
66.405	16:58:53.640	43.462229950	1.272889989	0.208108	125	0.453125
66.655	16:58:53.890	43.462229950	1.272889989	0.216332	125	0.507812
