Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
30.498	10:19:20.533	43.462229950	1.272889989	0.35	125	0.242188
30.748	10:19:20.783	43.462229950	1.272889989	0.35	125	0.242188
30.998	10:19:21.033	43.462229950	1.272889989	0.35	125	0.242188
31.248	10:19:21.283	43.462229950	1.272889989	0.35	125	0.242188
31.498	10:19:21.533	43.462229950	1.272889989	0.35	125	0.242188
31.748	10:19:21.783	43.462229950	1.272889989	0.35	125	0.242188
31.998	10:19:22.033	43.462229950	1.272889989	0.35	125	0.242188
32.248	10:19:22.283	43.462229950	1.272889989	0.35	125	0.242188
32.498	10:19:22.533	43.462229950	1.272889989	0.35	125	0.242188
32.748	10:19:22.783	43.462229950	1.272889989	0.35	125	0.242188
32.998	10:19:23.033	43.462229950	1.272889989	0.35	125	0.242188
33.248	10:19:23.283	43.462229950	1.272889989	0.35	125	0.242188
33.498	10:19:23.533	43.462229950	1.272889989	0.35	125	0.242188
33.748	10:19:23.783	43.462229950	1.272889989	0.35	125	0.242188
33.998	10:19:24.033	43.462229950	1.272889989	0.35	125	0.242188
34.248	10:19:24.283	43.462229950	1.272889989	0.35	125	0.242188
34.498	10:19:24.533	43.462229950	1.272889989	0.35	125	0.242188
34.748	10:19:24.783	43.462229950	1.272889989	0.35	125	0.242188
34.998	10:19:25.033	43.462229950	1.272889989	0.35	125	0.242188
35.248	10:19:25.283	43.462229950	1.272889989	0.35	125	0.242188
35.498	10:19:25.533	43.462229950	1.272889989	0.35	125	0.242188
35.748	10:19:25.783	43.462229950	1.272889989	0.35	125	0.242188
35.998	10:19:26.033	43.462229950	1.272889989	0.35	125	0.242188
36.248	10:19:26.283	43.462229950	1.272889989	0.35	125	0.242188
36.498	10:19:26.533	43.462229950	1.272889989	0.35	125	0.242188
36.748	10:19:26.783	43.462229950	1.272889989	0.35	125	0.242188
36.998	10:19:27.033	43.462229950	1.272889989	0.35	125	0.242188
37.248	10:19:27.283	43.462229950	1.272889989	0.35	125	0.242188
37.498	10:19:27.533	43.462229950	1.272889989	0.35	125	0.242188
37.748	10:19:27.783	43.462229950	1.272889989	0.35	125	0.242188
37.998	10:19:28.033	43.462229950	1.272889989	0.35	125	0.242188
38.248	10:19:28.283	43.462229950	1.272889989	0.35	125	0.242188
38.498	10:19:28.533	43.462229950	1.272889989	0.35	125	0.242188
38.748	10:19:28.783	43.462229950	1.272889989	0.35	125	0.242188
38.998	10:19:29.033	43.462229950	1.272889989	0.35	125	0.242188
39.248	10:19:29.283	43.462229950	1.272889989	0.35	125	0.242188
39.498	10:19:29.533	43.462229950	1.272889989	0.35	125	0.242188
39.748	10:19:29.783	43.462229950	1.272889989	0.35	125	0.242188
39.998	10:19:30.033	43.462229950	1.272889989	0.35	125	0.242188
40.248	10:19:30.283	43.462229950	1.272889989	0.35	125	0.242188
40.498	10:19:30.533	43.462229950	1.272889989	0.35	125	0.242188
40.748	10:19:30.783	43.462229950	1.272889989	0.35	125	0.242188
40.998	10:19:31.033	43.462229950	1.272889989	0.35	125	0.242188
41.248	10:19:31.283	43.462229950	1.272889989	0.35	125	0.242188
41.498	10:19:31.533	43.462229950	1.272889989	0.35	125	0.242188
41.748	10:19:31.783	43.462229950	1.272889989	0.35	125	0.242188
41.998	10:19:32.033	43.462229950	1.272889989	0.35	125	0.242188
42.248	10:19:32.283	43.462229950	1.272889989	0.35	125	0.242188
42.498	10:19:32.533	43.462229950	1.272889989	0.35	125	0.242188
42.748	10:19:32.783	43.462229950	1.272889989	0.35	125	0.242188
42.998	10:19:33.033	43.462229950	1.272889989	0.35	125	0.242188
43.248	10:19:33.283	43.462229950	1.272889989	0.35	125	0.242188
43.498	10:19:33.533	43.462229950	1.272889989	0.35	125	0.242188
43.748	10:19:33.783	43.462229950	1.272889989	0.35	125	0.242188
43.998	10:19:34.033	43.462229950	1.272889989	0.35	125	0.242188
44.248	10:19:34.283	43.462229950	1.272889989	0.35	125	0.242188
44.498	10:19:34.533	43.462229950	1.272889989	0.35	125	0.242188
44.748	10:19:34.783	43.462229950	1.272889989	0.35	125	0.242188
44.998	10:19:35.033	43.462229950	1.272889989	0.35	125	0.242188
45.248	10:19:35.283	43.462229950	1.272889989	0.35	125	0.242188
45.498	10:19:35.533	43.462229950	1.272889989	0.35	125	0.242188
45.748	10:19:35.783	43.462229950	1.272889989	0.35	125	0.242188
45.998	10:19:36.033	43.462229950	1.272889989	0.35	125	0.242188
46.248	10:19:36.283	43.462229950	1.272889989	0.35	125	0.242188
46.498	10:19:36.533	43.462229950	1.272889989	0.35	125	0.242188
46.748	10:19:36.783	43.462229950	1.272889989	0.35	125	0.242188
46.998	10:19:37.033	43.462229950	1.272889989	0.35	125	0.242188
47.248	10:19:37.283	43.462229950	1.272889989	0.35	125	0.242188
47.498	10:19:37.533	43.462229950	1.272889989	0.35	125	0.242188
47.748	10:19:37.783	43.462229950	1.272889989	0.35	125	0.242188
47.998	10:19:38.033	43.462229950	1.272889989	0.35	125	0.242188
48.248	10:19:38.283	43.462229950	1.272889989	0.35	125	0.242188
48.498	10:19:38.533	43.462229950	1.272889989	0.35	125	0.242188
48.748	10:19:38.783	43.462229950	1.272889989	0.35	125	0.242188
48.998	10:19:39.033	43.462229950	1.272889989	0.35	125	0.242188
49.248	10:19:39.283	43.462229950	1.272889989	0.35	125	0.242188
49.498	10:19:39.533	43.462229950	1.272889989	0.35	125	0.242188
49.748	10:19:39.783	43.462229950	1.272889989	0.35	125	0.242188
49.998	10:19:40.033	43.462229950	1.272889989	0.35	125	0.242188
50.248	10:19:40.283	43.462229950	1.272889989	0.35	125	0.242188
50.498	10:19:40.533	43.462229950	1.272889989	0.35	125	0.242188
50.748	10:19:40.783	43.462229950	1.272889989	0.35	125	0.242188
50.998	10:19:41.033	43.462229950	1.272889989	0.35	125	0.242188
51.248	10:19:41.283	43.462229950	1.272889989	0.35	125	0.242188
51.498	10:19:41.533	43.462229950	1.272889989	0.35	125	0.242188
51.748	10:19:41.783	43.462229950	1.272889989	0.35	125	0.242188
51.998	10:19:42.033	43.462229950	1.272889989	0.35	125	0.242188
52.248	10:19:42.283	43.462229950	1.272889989	0.35	125	0.242188
52.498	10:19:42.533	43.462229950	1.272889989	0.35	125	0.242188
52.748	10:19:42.783	43.462229950	1.272889989	0.35	125	0.242188
52.998	10:19:43.033	43.462229950	1.272889989	0.35	125	0.242188
53.248	10:19:43.283	43.462229950	1.272889989	0.35	125	0.242188
53.498	10:19:43.533	43.462229950	1.272889989	0.35	125	0.242188
53.748	10:19:43.783	43.462229950	1.272889989	0.35	125	0.242188
53.998	10:19:44.033	43.462229950	1.272889989	0.35	125	0.242188
54.248	10:19:44.283	43.462229950	1.272889989	0.35	125	0.242188
54.498	10:19:44.533	43.462229950	1.272889989	0.35	125	0.242188
54.748	10:19:44.783	43.462229950	1.272889989	0.35	125	0.242188
54.998	10:19:45.033	43.462229950	1.272889989	0.35	125	0.242188
55.248	10:19:45.283	43.462229950	1.272889989	0.35	125	0.242188
55.498	10:19:45.533	43.462229950	1.272889989	0.35	125	0.242188
55.748	10:19:45.783	43.462229950	1.272889989	0.35	125	0.242188
55.998	10:19:46.033	43.462229950	1.272889989	0.35	125	0.214844
56.248	10:19:46.283	43.462229950	1.272889989	0.35	125	0.199219
