Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
29.271	10:51:43.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
29.521	10:51:43.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
29.771	10:51:43.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
30.021	10:51:44.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
30.271	10:51:44.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
30.521	10:51:44.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
30.771	10:51:44.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
31.021	10:51:45.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
31.271	10:51:45.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
31.521	10:51:45.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
31.771	10:51:45.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
32.021	10:51:46.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
32.271	10:51:46.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
32.521	10:51:46.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
32.771	10:51:46.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
33.021	10:51:47.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
33.271	10:51:47.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
33.521	10:51:47.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
33.771	10:51:47.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
34.021	10:51:48.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
34.271	10:51:48.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
34.521	10:51:48.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
34.771	10:51:48.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
35.021	10:51:49.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
35.271	10:51:49.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
35.521	10:51:49.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
35.771	10:51:49.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
36.021	10:51:50.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
36.271	10:51:50.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
36.521	10:51:50.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
36.771	10:51:50.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
37.021	10:51:51.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
37.271	10:51:51.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
37.521	10:51:51.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
